Rebounds,Assisst,Turnovers,Steals,Blocks,Personal Fouls,Points,Position,General Position
Rodney Stuckey,2.7,2.4,1.3,0.7,0.1,1.3,8.9,Guard,Guard
Ronnie Price,1.6,2.4,1.1,1.2,0.2,2.6,5.3,Guard,Guard
Sean Kilpatrick,1.8,0.9,1,0.4,0.1,1.2,11.1,Guard,Guard
Seth Curry,1.4,1.5,0.8,0.5,0.1,0.9,6.8,Guard,Guard
Shaun Livingston,2.2,3,1,0.7,0.3,1.8,6.3,Guard,Guard
Stephen Curry,5.4,6.7,3.3,2.1,0.2,2,30.1,Guard,Guard
Steve Blake,1.5,3.4,1.4,0.4,0.1,1.2,4.4,Guard,Guard
Tim Frazier,2.2,3.2,1.3,0.6,0,1.4,5.1,Guard,Guard
Toney Douglas,2.3,2.6,1,1.1,0.1,2.1,8.7,Guard,Guard
Tony Wroten,2.6,2.5,3.6,0.4,0,1.4,8.4,Guard,Guard
Troy Daniels,1.3,0.5,0.6,0.3,0.1,0.9,5.6,Guard,Guard
Tyler Johnson,3,2.2,1.3,0.7,0.4,1.8,8.7,Guard,Guard
Tyreke Evans,5.2,6.6,2.9,1.3,0.3,2.6,15.2,Guard,Guard
Victor Oladipo,4.8,3.9,2.1,1.6,0.8,2.4,16,Guard,Guard
Zach LaVine,2.8,3.1,1.9,0.8,0.2,2.4,14,Guard,Guard
Alan Anderson,2.1,1.1,0.2,0.3,0.1,1.9,5,Guard Forward,Guard
Alonzo Gee,3.4,1,0.8,0.9,0.2,2.3,4.5,Guard Forward,Guard
Andre Iguodala,4,3.4,1.2,1.1,0.3,1.6,7,Guard Forward,Guard
Andre Roberson,3.6,0.7,0.5,0.8,0.6,1.9,4.8,Guard Forward,Guard
Andrew Wiggins,3.6,2,2.2,1,0.6,2,20.7,Guard Forward,Guard
Anthony Morrow,0.9,0.4,0.3,0.3,0.1,0.9,5.6,Guard Forward,Guard
Arron Afflalo,3.7,2,1.2,0.4,0.1,2,12.8,Guard Forward,Guard
Axel Toupane,1.5,0.7,0.3,0.3,0.3,1.9,3.6,Guard Forward,Guard
Bojan Bogdanovic,3.2,1.3,1.5,0.4,0.1,1.5,11.2,Guard Forward,Guard
Brandon Rush,2.5,0.8,0.5,0.3,0.3,0.8,4.2,Guard Forward,Guard
C.J. Miles,2.7,1,1.1,0.8,0.5,2.2,11.8,Guard Forward,Guard
Chase Budinger,2.3,1,0.7,0.5,0.2,0.9,4.1,Guard Forward,Guard
Chris Johnson,1.9,0.6,0.6,0.5,0.3,1.4,2.9,Guard Forward,Guard
Corey Brewer,2.4,1.3,1,1,0.2,2,7.2,Guard Forward,Guard
Courtney Lee,2.6,1.7,0.9,1.1,0.4,1.7,9.6,Guard Forward,Guard
Dahntay Jones,5,2,0,1,2,6,13,Guard Forward,Guard
Damjan Rudez,0.6,0.3,0.4,0.1,0,1,2.3,Guard Forward,Guard
Danny Green,3.8,1.8,0.9,1,0.8,1.8,7.2,Guard Forward,Guard
DeMar DeRozan,4.5,4,2.2,1,0.3,2.1,23.5,Guard Forward,Guard
Devyn Marble,1.4,0.4,0.3,0.5,0,0.9,2.1,Guard Forward,Guard
Dion Waiters,2.6,2,1.5,1,0.2,1.8,9.8,Guard Forward,Guard
Elijah Millsap,1.8,1,0.5,0.4,0.2,1.7,1.8,Guard Forward,Guard
Evan Fournier,2.8,2.7,1.7,1.2,0,2.7,15.4,Guard Forward,Guard
Evan Turner,4.9,4.4,2.1,1,0.3,1.7,10.5,Guard Forward,Guard
Gary Harris,2.9,1.9,1.3,1.3,0.2,1.9,12.3,Guard Forward,Guard
Gerald Green,2.4,0.8,0.7,0.5,0.3,1.8,8.9,Guard Forward,Guard
Gerald Henderson,2.9,1,0.9,0.5,0.3,1.2,8.7,Guard Forward,Guard
Glenn Robinson III,1.5,0.6,0.4,0.4,0.2,0.5,3.8,Guard Forward,Guard
Gordon Hayward,5,3.7,2.5,1.2,0.3,2.3,19.7,Guard Forward,Guard
Hollis Thompson,3.5,1.3,1,0.5,0.3,2.4,9.8,Guard Forward,Guard
Iman Shumpert,3.8,1.7,1.1,1,0.4,2.2,5.8,Guard Forward,Guard
J.R. Smith,2.8,1.7,0.8,1.1,0.3,2.6,12.4,Guard Forward,Guard
Jakarr Sampson,2.6,0.6,1,0.3,0.5,1.9,5.1,Guard Forward,Guard
Jamal Crawford,1.8,2.3,1.4,0.7,0.2,1.5,14.2,Guard Forward,Guard
James Anderson,1.7,0.8,0.8,0.4,0.3,1.1,3.5,Guard Forward,Guard
James Ennis III,1.9,1,0.9,0.7,0.2,1.3,7.2,Guard Forward,Guard
James Jones,1,0.3,0.3,0.2,0.2,1,3.8,Guard Forward,Guard
Jeff Green,4.2,1.7,1.2,0.7,0.5,2.1,11.7,Guard Forward,Guard
Jeremy Lamb,3.8,1.2,0.8,0.6,0.5,1.6,8.8,Guard Forward,Guard
Jimmy Butler,5.3,4.8,2,1.6,0.6,1.9,20.9,Guard Forward,Guard
Joe Ingles,1.9,1.2,0.8,0.7,0,1.2,4.2,Guard Forward,Guard
Joe Johnson,3.6,3.9,2,0.8,0,1.8,12.2,Guard Forward,Guard
John Jenkins,1.3,0.8,0.6,0.2,0,0.5,4.1,Guard Forward,Guard
Jonathon Simmons,1.7,1.1,1,0.4,0.1,1.9,6,Guard Forward,Guard
Justin Holiday,1.7,1.1,0.7,0.6,0.4,1.2,4.5,Guard Forward,Guard
Kawhi Leonard,6.8,2.6,1.5,1.8,1,1.8,21.2,Guard Forward,Guard
Kent Bazemore,5.1,2.3,1.8,1.3,0.5,2.3,11.6,Guard Forward,Guard
Kevin Martin,2,1.1,1,0.5,0.1,1.5,9.3,Guard Forward,Guard
Khris Middleton,3.8,4.2,2.3,1.7,0.2,2.6,18.2,Guard Forward,Guard
Klay Thompson,3.8,2.1,1.7,0.8,0.6,1.9,22.1,Guard Forward,Guard
Kobe Bryant,3.7,2.8,2,0.9,0.2,1.7,17.6,Guard Forward,Guard
Kyle Anderson,3.1,1.6,0.8,0.8,0.4,1.2,4.5,Guard Forward,Guard
Kyle Korver,3.3,2.1,1.2,0.8,0.4,2,9.2,Guard Forward,Guard
Kyle Singler,2.1,0.4,0.5,0.4,0.1,1.8,3.4,Guard Forward,Guard
Lance Stephenson,3.2,1.9,1.4,0.6,0.1,2,8.3,Guard Forward,Guard
Lance Thomas,2.2,0.9,1,0.4,0.1,1.8,8.2,Guard Forward,Guard
Manu Ginobili,2.5,3.1,1.7,1.1,0.2,1.7,9.6,Guard Forward,Guard
Marco Belinelli,1.7,1.9,1.2,0.5,0,1.3,10.2,Guard Forward,Guard
Marcus Thornton,2.5,1.4,0.8,0.8,0.1,1.5,9.7,Guard Forward,Guard
Matt Barnes,5.5,2.1,1.6,1,0.8,3.1,10,Guard Forward,Guard
Mike Dunleavy,2.7,1.3,0.8,0.5,0.3,2.1,7.2,Guard Forward,Guard
Mike Miller,1.1,0.9,0.4,0.3,0.1,1.1,1.3,Guard Forward,Guard
Nick Young,1.8,0.6,0.6,0.4,0.1,0.9,7.3,Guard Forward,Guard
Nicolas Batum,6.1,5.8,2.9,0.9,0.6,1.6,14.9,Guard Forward,Guard
Nik Stauskas,2.5,1.9,1.3,0.6,0.3,1.6,8.5,Guard Forward,Guard
Norman Powell,2.3,1,0.7,0.6,0.2,1.2,5.6,Guard Forward,Guard
Orlando Johnson,2.1,0.3,0.6,0.4,0.4,1.3,3.7,Guard Forward,Guard
P.J. Hairston,2.6,0.6,0.6,0.5,0.2,2.1,6.2,Guard Forward,Guard
P.J. Tucker,6.2,2.2,1.4,1.3,0.2,2.5,8,Guard Forward,Guard
Pat Connaughton,0.9,0.3,0.3,0.1,0,0.2,1.1,Guard Forward,Guard
Rashad Vaughn,1.3,0.6,0.4,0.4,0.2,1,3.1,Guard Forward,Guard
Rasual Butler,1.2,0.5,0.2,0.3,0.5,0.2,2.7,Guard Forward,Guard
Reggie Bullock,1.8,0.7,0.2,0.3,0.1,0.8,3.3,Guard Forward,Guard
Richard Jefferson,1.7,0.8,0.6,0.4,0.2,1.7,5.5,Guard Forward,Guard
Rodney Hood,3.4,2.7,1.6,0.9,0.2,2.6,14.5,Guard Forward,Guard
Rondae Hollis-Jefferson,5.3,1.5,0.9,1.3,0.6,2.1,5.8,Guard Forward,Guard
Sergey Karasev,1.5,0.9,0.6,0.2,0.1,0.7,2.4,Guard Forward,Guard
Shabazz Muhammad,3.3,0.6,0.9,0.3,0.1,1.1,10.5,Guard Forward,Guard
Solomon Hill,2.8,1,0.6,0.6,0.2,1.2,4.2,Guard Forward,Guard
Sonny Weems,1.2,1.1,1,0.2,0,1.1,2.5,Guard Forward,Guard
Stanley Johnson,4.2,1.6,1.6,0.8,0.2,2.4,8.1,Guard Forward,Guard
Terrence Ross,2.5,0.8,0.6,0.7,0.3,1.6,9.9,Guard Forward,Guard
Thabo Sefolosha,4.5,1.4,0.9,1.1,0.5,1.5,6.4,Guard Forward,Guard
Tim Hardaway Jr.,1.7,1,0.5,0.4,0.1,0.9,6.4,Guard Forward,Guard
Tony Allen,4.6,1.1,1.2,1.7,0.3,2.7,8.4,Guard Forward,Guard
Tony Snell,3.1,1,0.8,0.3,0.3,1.6,5.3,Guard Forward,Guard
Trevor Ariza,4.5,2.3,1.4,2,0.3,2.2,12.7,Guard Forward,Guard
Vince Carter,2.4,0.9,0.6,0.6,0.3,1.7,6.6,Guard Forward,Guard
Wayne Ellington,2.3,1.1,0.6,0.6,0.1,1.1,7.7,Guard Forward,Guard
Wesley Johnson,3.1,0.6,0.7,1.1,0.7,2.2,6.9,Guard Forward,Guard
Wesley Matthews,3.1,1.9,1,1,0.2,2.3,12.5,Guard Forward,Guard
Will Barton,5.8,2.5,1.7,0.9,0.5,1.8,14.4,Guard Forward,Guard
Aaron Brooks,1.5,2.6,1.2,0.4,0.1,1.9,7.1,Point Guard,Guard
Aaron Harrison,0.7,0.1,0.2,0.3,0,0.5,0.9,Point Guard,Guard
Adreian Payne,2.1,0.6,0.7,0.3,0.2,1.5,2.5,Point Guard,Guard
Alan Williams,3.8,0.5,0.6,0.4,0.5,1.5,2.9,Point Guard,Guard
Andrew Nicholson,3.6,0.4,0.7,0.2,0.4,1.2,6.9,Point Guard,Guard
Beno Udrih,1.6,2.6,1.2,0.3,0,1.2,4.7,Point Guard,Guard
Brandon Jennings,2,3.5,1.2,0.6,0.1,1.2,6.9,Point Guard,Guard
Briante Weber,3.6,3,1.3,1.3,0.4,1.7,4.4,Point Guard,Guard
Bryce Cotton,0,0.4,0.6,0.4,0,0.3,1,Point Guard,Guard
C.J. Watson,2,2.7,0.8,0.6,0.2,1.5,4.3,Point Guard,Guard
Cameron Payne,1.5,1.9,0.8,0.6,0.1,1.4,5,Point Guard,Guard
Charlie Villanueva,2.5,0.4,0.5,0.3,0.2,1.1,5.1,Point Guard,Guard
Chris McCullough,2.8,0.4,0.6,1.2,0.5,1.6,4.7,Point Guard,Guard
Chris Paul,4.2,10,2.6,2.1,0.2,2.5,19.5,Point Guard,Guard
Cliff Alexander,0.8,0,0.1,0.1,0.3,0.1,1.3,Point Guard,Guard
Cory Jefferson,2,0,0,0,0.1,1,2.8,Point Guard,Guard
Cory Joseph,2.6,3.1,1.3,0.8,0.3,1.6,8.5,Point Guard,Guard
D.J. Augustin,1.5,3.2,1.4,0.6,0.1,1.4,7.5,Point Guard,Guard
D'Angelo Russell,3.4,3.3,2.5,1.2,0.2,1.8,13.2,Point Guard,Guard
Damian Lillard,4,6.8,3.2,0.9,0.4,2.2,25.1,Point Guard,Guard
Darren Collison,2.3,4.3,1.8,1,0.1,1.9,14,Point Guard,Guard
David West,4,1.8,0.9,0.6,0.7,1.8,7.1,Point Guard,Guard
Delon Wright,1.4,1.1,0.6,0.3,0.1,0.3,3.8,Point Guard,Guard
Dennis Schroder,2.6,4.4,2.3,0.9,0.1,1.7,11,Point Guard,Guard
Deron Williams,2.9,5.8,2.3,0.9,0.2,2.4,14.1,Point Guard,Guard
Derrick Rose,3.4,4.7,2.7,0.7,0.2,1.3,16.4,Point Guard,Guard
Elfrid Payton,3.6,6.4,2.4,1.2,0.3,2.2,10.7,Point Guard,Guard
Emmanuel Mudiay,3.4,5.5,3.2,1,0.5,2.1,12.8,Point Guard,Guard
Eric Moreland,1.4,0.1,0.4,0,0.5,0.5,1,Point Guard,Guard
Isaiah Canaan,2.3,1.8,1.2,0.7,0.2,1.7,11,Point Guard,Guard
Isaiah Thomas,3,6.2,2.7,1.1,0.1,2,22.2,Point Guard,Guard
Ish Smith,4,6.5,2.3,1.1,0.3,1.7,12.6,Point Guard,Guard
Jameer Nelson,2.9,4.9,1.7,0.6,0.1,2.6,7.7,Point Guard,Guard
James Michael McAdoo,1.4,0.4,0.4,0.2,0.2,1,2.9,Point Guard,Guard
JaMychal Green,4.8,0.9,1.1,0.6,0.4,2.4,7.4,Point Guard,Guard
Jarnell Stokes,0.6,0.1,0,0.1,0,0.1,1,Point Guard,Guard
Jeff Teague,2.7,5.9,2.8,1.2,0.3,2.1,15.7,Point Guard,Guard
John Wall,4.9,10.2,4.1,1.9,0.8,2.1,19.9,Point Guard,Guard
Johnny O'Bryant,2.7,0.5,0.5,0.3,0.1,1.5,3,Point Guard,Guard
Jordan Farmar,2.1,3.1,1.5,1.3,0.2,1.8,9.2,Point Guard,Guard
Jordan Mickey,0.8,0.1,0.1,0,0.7,0.3,1.3,Point Guard,Guard
Jorge Gutierrez,0.6,1.4,0.5,0.3,0,0.3,1.8,Point Guard,Guard
Jose Calderon,3.2,4.1,1.2,0.9,0.1,1.9,7.6,Point Guard,Guard
Jrue Holiday,3,6,2.6,1.4,0.3,2.3,16.8,Point Guard,Guard
Julius Randle,10.2,1.8,1.8,0.7,0.4,3,11.3,Point Guard,Guard
Justin Harper,0.2,0,0.4,0.2,0,0.6,2.6,Point Guard,Guard
Keith Appling,0.2,0.2,0.6,0.2,0,1,1.2,Point Guard,Guard
Kemba Walker,4.4,5.2,2.1,1.6,0.5,1.4,20.9,Point Guard,Guard
Kendall Marshall,0.9,2.4,1.4,0.5,0.1,1,3.7,Point Guard,Guard
Kevon Looney,2,0,0.2,0,0,0.4,1.8,Point Guard,Guard
Kyle Lowry,4.7,6.4,2.9,2.1,0.4,2.7,21.2,Point Guard,Guard
Larry Nance Jr.,5,0.7,0.7,0.9,0.4,2,5.5,Point Guard,Guard
Lorenzo Brown,0.9,1.4,1.1,0.4,0.1,0.5,2.5,Point Guard,Guard
Louis Amundson,1.7,0.4,0.5,0.2,0.2,1.5,1.8,Point Guard,Guard
Marcelo Huertas,1.7,3.4,1.5,0.5,0.1,1.4,4.5,Point Guard,Guard
Marcus Smart,4.2,3,1.3,1.5,0.3,3,9.1,Point Guard,Guard
Michael Carter-Williams,5.1,5.2,2.8,1.5,0.8,3,11.5,Point Guard,Guard
Mike Conley,2.9,6.1,1.5,1.2,0.3,1.8,15.3,Point Guard,Guard
Mike Scott,2.7,1,0.6,0.3,0.2,1.4,6.2,Point Guard,Guard
Montrezl Harrell,1.7,0.4,0.4,0.3,0.3,1.2,3.6,Point Guard,Guard
Nemanja Bjelica,3.5,1.4,0.8,0.4,0.4,2.6,5.1,Point Guard,Guard
Noah Vonleh,3.9,0.4,0.6,0.3,0.3,1.9,3.6,Point Guard,Guard
Patty Mills,2,2.8,0.9,0.7,0.1,1.3,8.5,Point Guard,Guard
Phil Pressey,1.3,3.3,1.4,0.8,0.2,1.2,3.3,Point Guard,Guard
Rajon Rondo,6,11.7,3.9,2,0.1,2.4,11.9,Point Guard,Guard
Rakeem Christmas,1,0,0,0,0,1,4,Point Guard,Guard
Raul Neto,1.5,2.1,1.3,0.8,0,1.5,5.9,Point Guard,Guard
Ray McCallum,1.1,1.5,0.6,0.3,0.2,0.7,3.3,Point Guard,Guard
Ricky Rubio,4.3,8.6,2.5,2.1,0.1,2.6,10.1,Point Guard,Guard
Russ Smith,0.6,0.7,0.5,0.3,0.1,0.3,1.5,Point Guard,Guard
Russell Westbrook,7.8,10.4,4.3,2,0.3,2.5,23.5,Point Guard,Guard
Shabazz Napier,1,1.8,0.8,0.4,0,0.7,3.7,Point Guard,Guard
Shane Larkin,2.3,4.4,1.9,1.2,0.2,1.6,7.3,Point Guard,Guard
Shelvin Mack,2.5,3.6,1.8,0.7,0.1,1.4,8.6,Point Guard,Guard
Spencer Dinwiddie,1.4,1.8,0.6,0.3,0,1.7,4.8,Point Guard,Guard
T.J. McConnell,3.1,4.5,1.7,1.2,0.1,1.4,6.1,Point Guard,Guard
Terry Rozier,1.6,0.9,0.5,0.2,0,0.6,1.8,Point Guard,Guard
Tony Parker,2.4,5.3,1.8,0.8,0.2,1.6,11.9,Point Guard,Guard
Trevor Booker,5.7,1.1,1,0.7,0.5,2.1,5.9,Point Guard,Guard
Trey Burke,1.8,2.3,1.3,0.5,0.1,1.3,10.6,Point Guard,Guard
Trey Lyles,3.7,0.7,0.8,0.3,0.2,1.4,6.1,Point Guard,Guard
Ty Lawson,1.8,3.6,1.4,0.8,0.1,1.3,5.7,Point Guard,Guard
Tyler Ennis,1.6,2.1,1,0.5,0,1.4,4.5,Point Guard,Guard
Tyus Jones,1.3,2.9,0.9,0.8,0.1,0.9,4.2,Point Guard,Guard
Udonis Haslem,2,0.4,0.1,0.1,0.1,0.7,1.6,Point Guard,Guard
Ben McLemore,2.2,1.2,1.5,0.8,0.1,2.1,7.8,Shooting Guard,Guard
Bradley Beal,3.4,2.9,2,1,0.2,2.1,17.4,Shooting Guard,Guard
C.J. Wilcox,0.5,0.4,0.1,0.4,0.1,0.7,3,Shooting Guard,Guard
Darrun Hilliard,1.2,0.7,0.5,0.2,0,0.7,4,Shooting Guard,Guard
Devin Booker,2.5,2.6,2.1,0.6,0.3,3,13.8,Shooting Guard,Guard
Elliot Williams,0.8,0.8,0.2,0,0,0.4,1.6,Shooting Guard,Guard
Eric Gordon,2.2,2.7,1.6,1,0.3,2.2,15.2,Shooting Guard,Guard
J.J. Redick,1.9,1.4,1,0.6,0.1,1.8,16.3,Shooting Guard,Guard
James Young,0.9,0.3,0.2,0.2,0,0.6,1,Shooting Guard,Guard
Jarell Eddie,0.9,0.2,0,0.2,0,0.2,2.4,Shooting Guard,Guard
Jodie Meeks,1.7,1,0.3,0,0,0.7,7.3,Shooting Guard,Guard
Joe Harris,0.6,0.4,0.2,0,0,0.2,0.6,Shooting Guard,Guard
Jordan Adams,1,1.5,1,1.5,0,1,3.5,Shooting Guard,Guard
Kentavious Caldwell-Pope,3.7,1.8,1.4,1.4,0.2,2.2,14.5,Shooting Guard,Guard
Lamar Patterson,1.4,1.1,0.7,0.3,0.1,1.3,2.4,Shooting Guard,Guard
Mario Hezonja,2.2,1.4,1.2,0.5,0.2,1.6,6.1,Shooting Guard,Guard
Markel Brown,2,1.5,0.9,0.6,0.2,1.5,5.9,Shooting Guard,Guard
R.J. Hunter,1,0.4,0.3,0.4,0.1,0.8,2.7,Shooting Guard,Guard
Sasha Vujacic,2.4,1.4,0.7,0.6,0.1,1.4,4.9,Shooting Guard,Guard
Xavier Munford,2.2,1.6,1.1,0.9,0.2,1.8,5.7,Shooting Guard,Guard
Alex Stepheson,3.5,0.3,0,0.1,0.6,1.5,2.8,Small Forward,Foward
Anthony Brown,2.4,0.7,0.5,0.5,0.2,1.2,4,Small Forward,Foward
Bruno Caboclo,0.3,0.2,0.7,0.3,0.2,0.3,0.5,Small Forward,Foward
Caron Butler,1.3,0.6,0.2,0.5,0.1,1.1,3.7,Small Forward,Foward
Cleanthony Early,1.5,0.4,0.5,0.1,0.2,0.9,1.8,Small Forward,Foward
Coty Clarke,0.3,0,0.3,0,0,0,2,Small Forward,Foward
Damien Inglis,1.6,0.5,0.6,0.3,0.2,0.6,1.8,Small Forward,Foward
Doug McDermott,2.4,0.7,0.7,0.2,0.1,1.6,9.4,Small Forward,Foward
Duje Dukan,4,1,0,1,0,2,6,Small Forward,Foward
Giannis Antetokounmpo,7.7,4.3,2.6,1.2,1.4,3.2,16.9,Small Forward,Foward
JJ O'Brien,0.5,0,0,0.5,0,0.5,0,Small Forward,Foward
Jordan Hamilton,5.6,2.3,1.5,0.7,0.3,2.2,11.4,Small Forward,Foward
Josh Huestis,2,0,0.6,0.2,0.4,0.6,2.8,Small Forward,Foward
Josh Richardson,2.1,1.4,0.7,0.7,0.5,2.1,6.6,Small Forward,Foward
Justin Anderson,2.4,0.5,0.4,0.3,0.5,0.8,3.8,Small Forward,Foward
K.J. McDaniels,1.1,0.3,0.5,0.2,0.2,0.8,2.4,Small Forward,Foward
Kelly Oubre Jr.,2.1,0.2,0.5,0.3,0.1,1.6,3.7,Small Forward,Foward
Luis Montero,0.3,0.1,0.3,0,0,0.1,1.2,Small Forward,Foward
Luke Babbitt,3.1,1.1,0.5,0.2,0.1,1.9,7,Small Forward,Foward
Maurice Harkless,3.6,0.9,0.8,0.6,0.4,1.6,6.4,Small Forward,Foward
Michael Kidd-Gilchrist,6.4,1.3,1.1,0.4,0.4,1.3,12.7,Small Forward,Foward
Otto Porter,5.2,1.6,0.9,1.4,0.4,2.2,11.6,Small Forward,Foward
T.J. Warren,3.1,0.9,0.7,0.8,0.3,2,11,Small Forward,Foward
Thanasis Antetokounmpo,0.5,0,0,0,0,1,3,Small Forward,Foward
